Phyla,AveCercozoa,AveChlorophyta,AveChromerida,AveCryptophyta,AveEuglenophyta,AveHaptophyta,AveMiozoa,AveOchrophyta,AvePelagophyta,AveRhodophyta,AveStreptophyta
vFam_2147,15.33333333,0.8115942029,0,2.5,2.5,1.666666667,0.6363636364,1.30952381,26,30.14285714,0
vFam_3111,25.66666667,3.101449275,6,14,1,3.444444444,3.181818182,13.83333333,11,20.85714286,0
vFam_4079,19.66666667,8.434782609,3,14,0,8.555555556,3.727272727,20.66666667,26,19.71428571,0
vFam_4137,22.33333333,8.333333333,90,7,0,112.6666667,14.27272727,15.38095238,3,12.71428571,0
vFam_4635,22,7.927536232,5,62,0,307,26.81818182,14,8,12,0
vFam_4138,62.33333333,23.68115942,193,52.75,1.5,110.2222222,45.18181818,41.26190476,7,11.14285714,0
vFam_4586,6.333333333,2.782608696,2,9,0,2.666666667,2.363636364,10.16666667,3,8.285714286,0
vFam_3289,4.666666667,3.797101449,2,6,0.5,5.111111111,0.9090909091,5.357142857,3,7,0
vFam_252,5.666666667,3.68115942,0,12.75,0,4,3.727272727,17.64285714,10,6,0
vFam_1179,7,3.289855072,3,9.75,0.5,2.111111111,3.909090909,14.66666667,7,6,0
vFam_4802,2.333333333,3.101449275,2,2.75,1.5,3.222222222,1.818181818,6.833333333,13,5.571428571,0
vFam_621,7.333333333,2.637681159,13,6.5,0,3.444444444,1.454545455,9.261904762,6,5,0
vFam_5791,0,0,0,0,0,0,0,0,0,4.857142857,0
vFam_4078,2,2.782608696,7,4,0.5,2.333333333,1.272727273,5.119047619,6,4.714285714,0
vFam_601,3.333333333,1.101449275,3,3.25,0,2.222222222,0.2727272727,2.5,2,4.428571429,0
vFam_2531,4,1.434782609,0,2.75,0,1.333333333,0.3636363636,1.261904762,2,4.428571429,0
vFam_5692,28.66666667,13.57971014,68,7.25,1,102,27.09090909,16.71428571,0,4.285714286,0
vFam_2297,3.333333333,1.550724638,3,3,0.5,1,0.5454545455,4.142857143,2,4.142857143,0
vFam_2035,0.3333333333,1,0,3.75,1,0.5555555556,0.3636363636,1.619047619,0,4,0
vFam_3299,2,2.608695652,0,4.5,0,2.444444444,1.363636364,9.285714286,12,3.857142857,0
vFam_2798,10,2.507246377,2,0,0,0.6666666667,1.363636364,5.642857143,9,3.857142857,0
vFam_6153,0,1.260869565,0,1.5,0,1.666666667,1.272727273,4.571428571,3,3.714285714,0
vFam_1034,1.666666667,2.15942029,0,1.75,0,2.777777778,1.636363636,3.285714286,1,3.714285714,0
vFam_3640,4,1.304347826,4,39.5,0,0.3333333333,1.454545455,3.547619048,7,3.571428571,0
vFam_69,5.333333333,2.231884058,0,10.5,0,2.777777778,1.818181818,5.30952381,6,3.285714286,0
